"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009-01","Canada","2016A000011124","Persons","249","units","0","v1","1","33427050","","","","0"
"2009-04","Canada","2016A000011124","Persons","249","units","0","v1","1","33511275","","","","0"
"2009-07","Canada","2016A000011124","Persons","249","units","0","v1","1","33628895","","","","0"
"2009-10","Canada","2016A000011124","Persons","249","units","0","v1","1","33757077","","","","0"
"2010-01","Canada","2016A000011124","Persons","249","units","0","v1","1","33807529","","","","0"
"2010-04","Canada","2016A000011124","Persons","249","units","0","v1","1","33889236","","","","0"
"2010-07","Canada","2016A000011124","Persons","249","units","0","v1","1","34004889","","","","0"
"2010-10","Canada","2016A000011124","Persons","249","units","0","v1","1","34131683","","","","0"
"2011-01","Canada","2016A000011124","Persons","249","units","0","v1","1","34166099","","","","0"
"2011-04","Canada","2016A000011124","Persons","249","units","0","v1","1","34230378","","","","0"
"2011-07","Canada","2016A000011124","Persons","249","units","0","v1","1","34339328","","","","0"
"2011-10","Canada","2016A000011124","Persons","249","units","0","v1","1","34457998","","","","0"
"2012-01","Canada","2016A000011124","Persons","249","units","0","v1","1","34516352","","","","0"
"2012-04","Canada","2016A000011124","Persons","249","units","0","v1","1","34592779","","","","0"
"2012-07","Canada","2016A000011124","Persons","249","units","0","v1","1","34714222","","","","0"
"2012-10","Canada","2016A000011124","Persons","249","units","0","v1","1","34836008","","","","0"
"2013-01","Canada","2016A000011124","Persons","249","units","0","v1","1","34883119","","","","0"
"2013-04","Canada","2016A000011124","Persons","249","units","0","v1","1","34958216","","","","0"
"2013-07","Canada","2016A000011124","Persons","249","units","0","v1","1","35082954","","","","0"
"2013-10","Canada","2016A000011124","Persons","249","units","0","v1","1","35211866","","","","0"
"2014-01","Canada","2016A000011124","Persons","249","units","0","v1","1","35249639","","","","0"
"2014-04","Canada","2016A000011124","Persons","249","units","0","v1","1","35323533","","","","0"
"2014-07","Canada","2016A000011124","Persons","249","units","0","v1","1","35437435","","","","0"
"2014-10","Canada","2016A000011124","Persons","249","units","0","v1","1","35559047","","","","0"
"2015-01","Canada","2016A000011124","Persons","249","units","0","v1","1","35575187","","","","0"
"2015-04","Canada","2016A000011124","Persons","249","units","0","v1","1","35611271","","","","0"
"2015-07","Canada","2016A000011124","Persons","249","units","0","v1","1","35702908","","","","0"
"2015-10","Canada","2016A000011124","Persons","249","units","0","v1","1","35822894","","","","0"
"2016-01","Canada","2016A000011124","Persons","249","units","0","v1","1","35871136","","","","0"
"2016-04","Canada","2016A000011124","Persons","249","units","0","v1","1","35970303","","","","0"
"2016-07","Canada","2016A000011124","Persons","249","units","0","v1","1","36109487","","","","0"
"2016-10","Canada","2016A000011124","Persons","249","units","0","v1","1","36258726","","","","0"
"2017-01","Canada","2016A000011124","Persons","249","units","0","v1","1","36314099","","","","0"
"2017-04","Canada","2016A000011124","Persons","249","units","0","v1","1","36398013","","","","0"
"2017-07","Canada","2016A000011124","Persons","249","units","0","v1","1","36545236","","","","0"
"2017-10","Canada","2016A000011124","Persons","249","units","0","v1","1","36721223","","","","0"
"2018-01","Canada","2016A000011124","Persons","249","units","0","v1","1","36798408","","","","0"
"2018-04","Canada","2016A000011124","Persons","249","units","0","v1","1","36898431","","","","0"
"2018-07","Canada","2016A000011124","Persons","249","units","0","v1","1","37065084","","","","0"
"2018-10","Canada","2016A000011124","Persons","249","units","0","v1","1","37250385","","","","0"
"2019-01","Canada","2016A000011124","Persons","249","units","0","v1","1","37325235","","","","0"
"2019-04","Canada","2016A000011124","Persons","249","units","0","v1","1","37422946","","","","0"
"2019-07","Canada","2016A000011124","Persons","249","units","0","v1","1","37601230","","","","0"
"2019-10","Canada","2016A000011124","Persons","249","units","0","v1","1","37810038","","","","0"
"2020-01","Canada","2016A000011124","Persons","249","units","0","v1","1","37909001","","","","0"
"2020-04","Canada","2016A000011124","Persons","249","units","0","v1","1","37986182","","","","0"
"2020-07","Canada","2016A000011124","Persons","249","units","0","v1","1","38007166","","","","0"
"2020-10","Canada","2016A000011124","Persons","249","units","0","v1","1","38007048","","","","0"
"2009-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","514223","","","","0"
"2009-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","514719","","","","0"
"2009-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","516751","","","","0"
"2009-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","518985","","","","0"
"2010-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","520283","","","","0"
"2010-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","521204","","","","0"
"2010-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","522009","","","","0"
"2010-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","522865","","","","0"
"2011-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","523726","","","","0"
"2011-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","524239","","","","0"
"2011-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","524999","","","","0"
"2011-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","525936","","","","0"
"2012-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","526215","","","","0"
"2012-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","525655","","","","0"
"2012-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","526345","","","","0"
"2012-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","527180","","","","0"
"2013-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","527248","","","","0"
"2013-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","527313","","","","0"
"2013-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","527114","","","","0"
"2013-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","528117","","","","0"
"2014-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","528242","","","","0"
"2014-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","527498","","","","0"
"2014-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","528159","","","","0"
"2014-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","528461","","","","0"
"2015-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","528361","","","","0"
"2015-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","528063","","","","0"
"2015-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","528117","","","","0"
"2015-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","528696","","","","0"
"2016-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","528800","","","","0"
"2016-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","529063","","","","0"
"2016-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","529426","","","","0"
"2016-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","529900","","","","0"
"2017-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","529347","","","","0"
"2017-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","528544","","","","0"
"2017-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","528249","","","","0"
"2017-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","528288","","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","527544","","","","0"
"2018-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","526395","","","","0"
"2018-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","525560","","","","0"
"2018-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","525729","","","","0"
"2019-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","524803","","","","0"
"2019-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","524131","","","","0"
"2019-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","523427","","","","0"
"2019-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","523889","","","","0"
"2020-01","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","523345","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","522505","","","","0"
"2020-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","521359","","","","0"
"2020-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","520203","","","","0"
"2009-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","139136","","","","0"
"2009-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","139206","","","","0"
"2009-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","139891","","","","0"
"2009-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","140611","","","","0"
"2010-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","140612","","","","0"
"2010-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","140990","","","","0"
"2010-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","141654","","","","0"
"2010-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","142732","","","","0"
"2011-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","143020","","","","0"
"2011-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","143265","","","","0"
"2011-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","143963","","","","0"
"2011-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","144378","","","","0"
"2012-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","144310","","","","0"
"2012-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","144472","","","","0"
"2012-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","144530","","","","0"
"2012-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","144520","","","","0"
"2013-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","144175","","","","0"
"2013-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","143948","","","","0"
"2013-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","144094","","","","0"
"2013-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","144103","","","","0"
"2014-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","143996","","","","0"
"2014-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","143984","","","","0"
"2014-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","144283","","","","0"
"2014-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","144538","","","","0"
"2015-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","144368","","","","0"
"2015-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","144259","","","","0"
"2015-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","144546","","","","0"
"2015-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","144894","","","","0"
"2016-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","145202","","","","0"
"2016-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","145784","","","","0"
"2016-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","146969","","","","0"
"2016-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","147936","","","","0"
"2017-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","148181","","","","0"
"2017-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","148860","","","","0"
"2017-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","150402","","","","0"
"2017-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","151376","","","","0"
"2018-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","151516","","","","0"
"2018-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","152039","","","","0"
"2018-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","153396","","","","0"
"2018-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","155152","","","","0"
"2019-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","155254","","","","0"
"2019-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","155916","","","","0"
"2019-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","157419","","","","0"
"2019-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","158760","","","","0"
"2020-01","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","159369","","","","0"
"2020-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","160390","","","","0"
"2020-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","161305","","","","0"
"2020-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","161455","","","","0"
"2009-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","937382","","","","0"
"2009-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","937429","","","","0"
"2009-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","938208","","","","0"
"2009-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","940501","","","","0"
"2010-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","940823","","","","0"
"2010-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","940919","","","","0"
"2010-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","942107","","","","0"
"2010-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","944179","","","","0"
"2011-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","944068","","","","0"
"2011-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","943918","","","","0"
"2011-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","944274","","","","0"
"2011-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","945016","","","","0"
"2012-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","944307","","","","0"
"2012-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","943746","","","","0"
"2012-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","943635","","","","0"
"2012-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","943341","","","","0"
"2013-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","942598","","","","0"
"2013-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","941230","","","","0"
"2013-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","940434","","","","0"
"2013-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","940105","","","","0"
"2014-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","939867","","","","0"
"2014-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","938913","","","","0"
"2014-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","938545","","","","0"
"2014-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","938972","","","","0"
"2015-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","938296","","","","0"
"2015-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","936271","","","","0"
"2015-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","936525","","","","0"
"2015-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","938320","","","","0"
"2016-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","938690","","","","0"
"2016-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","940382","","","","0"
"2016-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","942790","","","","0"
"2016-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","946030","","","","0"
"2017-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","945943","","","","0"
"2017-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","947384","","","","0"
"2017-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","950108","","","","0"
"2017-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","953683","","","","0"
"2018-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","953838","","","","0"
"2018-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","954618","","","","0"
"2018-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","958406","","","","0"
"2018-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","963447","","","","0"
"2019-01","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","964073","","","","0"
