Country Name,"Country Code","Series Name","Series Code","2018Q1 [YR2018Q1]","2018Q2 [YR2018Q2]","2018Q3 [YR2018Q3]","2018Q4 [YR2018Q4]","2019Q1 [YR2019Q1]","2019Q2 [YR2019Q2]","2019Q3 [YR2019Q3]","2019Q4 [YR2019Q4]","2020Q1 [YR2020Q1]","2020Q2 [YR2020Q2]","2020Q3 [YR2020Q3]","2020Q4 [YR2020Q4]","2021Q1 [YR2021Q1]","2021Q2 [YR2021Q2]","2021Q3 [YR2021Q3]","2021Q4 [YR2021Q4]","2022Q1 [YR2022Q1]","2022Q2 [YR2022Q2]","2022Q3 [YR2022Q3]","2022Q4 [YR2022Q4]"
Uruguay,"URY","Gross PSD, Total, Short-term, Other accounts payable, Nominal Value, US$","DP.DOD.DSOA.CR.PS.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Uruguay,"URY","Gross PSD, Total, Short-term, Loans, Nominal Value, US$","DP.DOD.DSLO.CR.PS.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Uruguay,"URY","Gross PSD, Total, Short-term, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$","DP.DOD.DSIN.CR.PS.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Uruguay,"URY","Gross PSD, Total, Short-term, Debt securities, Nominal Value, US$","DP.DOD.DSDS.CR.PS.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Uruguay,"URY","Gross PSD, Total, Short-term, Currency and deposits, Nominal Value, US$","DP.DOD.DSCD.CR.PS.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Uruguay,"URY","Gross PSD, Total, Short-term, All instruments, Nominal Value, US$","DP.DOD.DSTC.CR.PS.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
,"","","","","","","","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","","","","","","","",""
,"","","","","","","","","","","","","","","","","","","","","","",""
Data from database: Quarterly Public Sector Debt,"","","","","","","","","","","","","","","","","","","","","","",""
Last Updated: 04/28/2023,"","","","","","","","","","","","","","","","","","","","","","",""
